date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
18:49:01	2978733/2978733	---M--	200	added ('OK')	image/gif	etag:%225fa97d38-2d73ad%22	https://freight.cargo.site/t/original/i/aeceba3eea3d0953cad1f160437291351b983b85f49c8a896001db2db6de7b03/ezgif.com-optimize-4.gif	C:/My%20Web%20Sites/test/freight.cargo.site/t/original/i/aeceba3eea3d0953cad1f160437291351b983b85f49c8a896001db2db6de7b03/ezgif.com-optimize-4.gif	(from https://stickyrice-magazine.com/Lifestyle)
18:49:01	743943/743943	---M--	200	added ('OK')	image/jpeg	etag:%225fc3cf8f-b5a07%22	https://freight.cargo.site/t/original/i/3ecbef7a6d878cefc6a94cfb6977af76cf5d404a22e6a05ff85aa91c9b2b2b5b/CQA_LAM0985-min-1_TMB.jpg	C:/My%20Web%20Sites/test/freight.cargo.site/t/original/i/3ecbef7a6d878cefc6a94cfb6977af76cf5d404a22e6a05ff85aa91c9b2b2b5b/CQA_LAM0985-min-1_TMB.jpg	(from https://stickyrice-magazine.com/Lifestyle)
18:49:01	359780/359780	---MCZ	200	added ('OK')	text/html	date:Fri,%2004%20Dec%202020%2023:49:01%20GMT	https://stickyrice-magazine.com/Catching-Up-With-Friends-Family-1-0	C:/My%20Web%20Sites/test/stickyrice-magazine.com/Catching-Up-With-Friends-Family-1-0.html	(from https://stickyrice-magazine.com/Lifestyle)
18:49:02	864299/864299	---M--	200	added ('OK')	image/jpeg	etag:%225fc27aab-d302b%22	https://freight.cargo.site/t/original/i/cec42400d7657c74bd696a4365edf722bacf685031be2dd881f2b79e3a686e22/1080x1350_00057.jpg	C:/My%20Web%20Sites/test/freight.cargo.site/t/original/i/cec42400d7657c74bd696a4365edf722bacf685031be2dd881f2b79e3a686e22/1080x1350_00057.jpg	(from https://stickyrice-magazine.com/Lifestyle)
18:49:02	256330/256330	---M-Z	200	added ('OK')	text/html	date:Fri,%2004%20Dec%202020%2023:49:01%20GMT	https://stickyrice-magazine.com/The-Asiancy	C:/My%20Web%20Sites/test/stickyrice-magazine.com/The-Asiancy.html	(from https://stickyrice-magazine.com/Lifestyle)
18:49:02	243788/243788	---M-Z	200	added ('OK')	text/html	date:Fri,%2004%20Dec%202020%2023:49:01%20GMT	https://stickyrice-magazine.com/Lunar-Traditions	C:/My%20Web%20Sites/test/stickyrice-magazine.com/Lunar-Traditions.html	(from https://stickyrice-magazine.com/Lifestyle)
18:49:02	1538872/1538872	---M--	200	added ('OK')	image/jpeg	etag:%225fc55d0a-177b38%22	https://freight.cargo.site/t/original/i/33e73765bc203cad27ca3d5d2a092955be457ec095e0ed2f1a9503252548cb9b/LS-A1-crop.jpg	C:/My%20Web%20Sites/test/freight.cargo.site/t/original/i/33e73765bc203cad27ca3d5d2a092955be457ec095e0ed2f1a9503252548cb9b/LS-A1-crop.jpg	(from https://stickyrice-magazine.com/Lifestyle)
18:49:03	807637/807637	---M--	200	added ('OK')	image/jpeg	etag:%225fc78422-c52d5%22	https://freight.cargo.site/t/original/i/4e7be84ccd06fe7b1e716f6dc3262966cf7262fc6c62266b7b3cb16814fd439f/RedPocket_01_00000.jpg	C:/My%20Web%20Sites/test/freight.cargo.site/t/original/i/4e7be84ccd06fe7b1e716f6dc3262966cf7262fc6c62266b7b3cb16814fd439f/RedPocket_01_00000.jpg	(from https://stickyrice-magazine.com/Lifestyle)
18:49:03	487471/487471	---MCZ	200	added ('OK')	text/html	date:Fri,%2004%20Dec%202020%2023:49:02%20GMT	https://stickyrice-magazine.com/current-volume	C:/My%20Web%20Sites/test/stickyrice-magazine.com/current-volume-3.html	(from https://stickyrice-magazine.com/Archives)
18:49:03	14632/14632	---M--	200	added ('OK')	image/png	etag:%225fc459b3-3928%22	https://freight.cargo.site/t/original/i/18e6bd3bbbbbbbba34b310ebc635444cbda0ba9729c6cece960f21737e513965/COMING-SOON.png	C:/My%20Web%20Sites/test/freight.cargo.site/t/original/i/18e6bd3bbbbbbbba34b310ebc635444cbda0ba9729c6cece960f21737e513965/COMING-SOON.png	(from https://stickyrice-magazine.com/Archives)
18:49:04	2056/2056	---M--	200	added ('OK')	image/png	etag:%225fc96315-808%22	https://freight.cargo.site/t/original/i/483ad9e60bb475676ba848871e20666e779b4d2a7bfcdb49f72acfbbf7f5bd30/SR_Buttons_v20200614a_OC-20.png	C:/My%20Web%20Sites/test/freight.cargo.site/t/original/i/483ad9e60bb475676ba848871e20666e779b4d2a7bfcdb49f72acfbbf7f5bd30/SR_Buttons_v20200614a_OC-20.png	(from https://stickyrice-magazine.com/Volume01-Creasian)
